internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
185302,Xyris sanguinea,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,XYRIDACEAE,Xyris,sanguinea,,,,,Verm. ex Malme,
185315,Isoetes spinulospora,PLANTAE,TRACHEOPHYTA,ISOËTALES,LYCOPODIOPSIDA,ISOËTACEAE,Isoetes,spinulospora,,,,,C.Jermy &amp; Schelpe,"Strongly suspected that <em>I. spinulospora</em> is a synonym of<em> I. biafrana, </em>included in Flora of Cameroon. This species also occurs in Equatorial Guinea and Cameroon."
185318,Hygrophila odora,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,ACANTHACEAE,Hygrophila,odora,,,,,(Nees) T.Anderson,"Annual herb, sometimes perennial with entire opposite leaves. New information for this species is rare."
185321,Xyris kundelungensis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,XYRIDACEAE,Xyris,kundelungensis,,,,,Brylska,
185349,Lagarosiphon rubellus,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Lagarosiphon,rubellus,,,,,Ridl.,
185357,Sphenoclea dalzielii,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Sphenoclea,dalzielii,,,,,N.E.Br.,Straggling herb with spongy stems ; flowers pink
185364,Xyris gossweileri,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,XYRIDACEAE,Xyris,gossweileri,,,,,Malme,
185366,Sphaeranthus zavattarii,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Sphaeranthus,zavattarii,,,,,Cufod. ,
185377,Xyris kwangolana,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,XYRIDACEAE,Xyris,kwangolana,,,,,P.A.Duvign. &amp; Homes,
185378,Eleocharis schlechteri,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Eleocharis,schlechteri,,,,,C.B.Clarke,Taxonomic status unclear.
